WRIA_NR,WRIA_NM,StnID,StnName,Area
62,Pend Oreille,1,ALBEN,459161.7123
62,Pend Oreille,10,COLKE,11916.67081
62,Pend Oreille,17,GCOUL,10142.61867
62,Pend Oreille,22,LISPO,846.8656914
62,Pend Oreille,43,WANET,66580.61412
62,Pend Oreille,5,BOUND,241184.0837
61,Upper Lake Roosevelt,10,COLKE,12717.01028
61,Upper Lake Roosevelt,17,GCOUL,339437.0107
61,Upper Lake Roosevelt,43,WANET,15804.34291
61,Upper Lake Roosevelt,5,BOUND,886.2066507
60,Kettle,17,GCOUL,647081.0483
60,Kettle,32,OKANO,9381.217541
49,Okanogan,17,GCOUL,20584.333
49,Okanogan,28,METPA,12405.20642
49,Okanogan,31,OKANA,535927.8269
49,Okanogan,32,OKANO,329178.1859
49,Okanogan,38,ROCKY,26770.59711
49,Okanogan,39,SIMNI,213977.7484
49,Okanogan,44,WELLS,202352.881
49,Okanogan,8,CHIEF,1342.858922
48,Methow,28,METPA,1063850.797
48,Methow,31,OKANA,4985.11046
48,Methow,38,ROCKY,70837.44706
48,Methow,39,SIMNI,203143.6678
48,Methow,44,WELLS,3836.814916
59,Colville,1,ALBEN,4178.689075
59,Colville,10,COLKE,584803.0551
59,Colville,17,GCOUL,56087.46481
59,Colville,22,LISPO,4140.402264
59,Colville,5,BOUND,2974.276907
52,Sanpoil,17,GCOUL,606335.5313
52,Sanpoil,31,OKANA,4777.087584
52,Sanpoil,32,OKANO,8902.689394
52,Sanpoil,8,CHIEF,8474.745494
58,Middle Lake Roosevelt,10,COLKE,7498.334211
58,Middle Lake Roosevelt,17,GCOUL,699980.954
47,Chelan,28,METPA,15504.96728
47,Chelan,38,ROCKY,634756.5988
47,Chelan,46,WENPE,4581.90752
51,Nespelem,17,GCOUL,17508.26521
51,Nespelem,31,OKANA,4078.573273
51,Nespelem,8,CHIEF,122792.1996
50,Foster,31,OKANA,14297.81411
50,Foster,35,PRIRA,6110.067558
50,Foster,38,ROCKY,56246.54216
50,Foster,42,WANAP,9626.323276
50,Foster,44,WELLS,257006.0977
50,Foster,8,CHIEF,234044.5294
55,Little Spokane,1,ALBEN,66920.55091
55,Little Spokane,10,COLKE,3557.212662
55,Little Spokane,17,GCOUL,38912.9332
55,Little Spokane,22,LISPO,323999.3224
57,Middle Spokane,1,ALBEN,32302.32458
57,Middle Spokane,17,GCOUL,148371.4136
57,Middle Spokane,22,LISPO,2766.523403
45,Wenatchee,37,RISLA,52342.14394
45,Wenatchee,38,ROCKY,13276.75001
45,Wenatchee,45,WENMO,183795.1143
45,Wenatchee,46,WENPE,590644.2015
45,Wenatchee,48,YAPAR,26118.12562
46,Entiat,37,RISLA,25564.99335
46,Entiat,38,ROCKY,258131.7139
46,Entiat,45,WENMO,1022.304627
46,Entiat,46,WENPE,21046.94629
54,Lower Spokane,10,COLKE,56190.5226
54,Lower Spokane,17,GCOUL,493706.1599
54,Lower Spokane,22,LISPO,5117.487264
54,Lower Spokane,25,LMONU,2083.098736
54,Lower Spokane,35,PRIRA,9160.507779
53,Lower Lake Roosevelt,17,GCOUL,271525.2115
53,Lower Lake Roosevelt,35,PRIRA,8527.083431
53,Lower Lake Roosevelt,8,CHIEF,46246.47251
42,Grand Coulee,17,GCOUL,52164.72569
42,Grand Coulee,35,PRIRA,390888.2844
42,Grand Coulee,42,WANAP,2733.15112
42,Grand Coulee,44,WELLS,3799.92316
42,Grand Coulee,8,CHIEF,34915.6066
43,Upper Crab-Wilson,17,GCOUL,531105.5665
43,Upper Crab-Wilson,25,LMONU,39026.32628
43,Upper Crab-Wilson,35,PRIRA,615487.9271
43,Upper Crab-Wilson,8,CHIEF,26.66816608
44,Moses Coulee,35,PRIRA,18038.22786
44,Moses Coulee,37,RISLA,57425.00722
44,Moses Coulee,38,ROCKY,77383.70305
44,Moses Coulee,42,WANAP,483658.8976
44,Moses Coulee,44,WELLS,93652.37798
56,Hangman,17,GCOUL,284555.1696
56,Hangman,25,LMONU,6449.824497
34,Palouse,17,GCOUL,121324.0745
34,Palouse,23,LGOOS,4908.842004
34,Palouse,24,LGRAN,15921.3262
34,Palouse,25,LMONU,1608592.37
34,Palouse,26,MCNAR,2615.178456
34,Palouse,35,PRIRA,12201.0921
39,Upper Yakima,26,MCNAR,8130.996134
39,Upper Yakima,35,PRIRA,3806.122322
39,Upper Yakima,37,RISLA,2411.542683
39,Upper Yakima,42,WANAP,5061.922511
39,Upper Yakima,45,WENMO,5184.713975
39,Upper Yakima,46,WENPE,252.8140445
39,Upper Yakima,48,YAPAR,1326395.064
41,Lower Crab,17,GCOUL,1246173.626
41,Lower Crab,35,PRIRA,300868.7223
41,Lower Crab,42,WANAP,74385.25444
40,Alkali - Squilchuck,17,GCOUL,3297.927125
40,Alkali - Squilchuck,26,MCNAR,234758.4945
40,Alkali - Squilchuck,35,PRIRA,67148.71234
40,Alkali - Squilchuck,37,RISLA,40286.16794
40,Alkali - Squilchuck,42,WANAP,169437.1018
40,Alkali - Squilchuck,45,WENMO,4209.594917
40,Alkali - Squilchuck,48,YAPAR,20052.04319
38,Naches,4,BONNE,7131.202087
38,Naches,48,YAPAR,678262.3511
36,Esquatzel Coulee,17,GCOUL,646331.5538
36,Esquatzel Coulee,19,ICEHA,2558.97801
36,Esquatzel Coulee,25,LMONU,33770.367
36,Esquatzel Coulee,26,MCNAR,368183.5206
36,Esquatzel Coulee,35,PRIRA,7939.947
35,Middle Snake,23,LGOOS,282558.6127
35,Middle Snake,24,LGRAN,732406.0457
35,Middle Snake,25,LMONU,383565.6728
35,Middle Snake,41,WALST,41601.0637
33,Lower Snake,17,GCOUL,54798.68031
33,Lower Snake,19,ICEHA,184281.5888
33,Lower Snake,25,LMONU,142014.5833
33,Lower Snake,26,MCNAR,71067.67171
33,Lower Snake,41,WALST,10436.96548
37,Lower Yakima,20,JDAYY,19348.72003
37,Lower Yakima,26,MCNAR,1649908.157
37,Lower Yakima,4,BONNE,17516.76532
37,Lower Yakima,48,YAPAR,175678.4689
32,Walla Walla,19,ICEHA,36170.35434
32,Walla Walla,24,LGRAN,4906.17943
32,Walla Walla,25,LMONU,29919.29144
32,Walla Walla,26,MCNAR,87101.33195
32,Walla Walla,41,WALST,749741.3263
30,Klickitat,12,DALLE,93500.13624
30,Klickitat,20,JDAYY,2120.779915
30,Klickitat,26,MCNAR,15988.64745
30,Klickitat,4,BONNE,799867.2105
30,Klickitat,48,YAPAR,5285.41463
31,Rock - Glade,12,DALLE,20803.12858
31,Rock - Glade,20,JDAYY,825650.2467
31,Rock - Glade,26,MCNAR,207003.5445
31,Rock - Glade,4,BONNE,5364.685933
29,Wind - White Salmon,4,BONNE,526423.2881
